Head Word,Date,Source,Author,Vol / Page,Edition,Quote,Notes
yam,1917,Dictionary of the Maori Language,WILLIAMS,553,,"<i> Uwhi, uhi</i>, (i) n. 1. <i> Discorea</i> sp., <i> yam</i>, which was formerly cultivated.",
yam,"Mar 26, 1842",New Zealand Gazette & Wellington Spectator,,3,,"The marketable produce of these islands, and of the seas over which they are so widely scattered, consists cheifly [sic] of beche de la mer .. besides vegetable productions, such as the yam, the sugar-cane, the bread-fruit, and the cocoa-nut, which denote a soil and climate similar to those of our most valuable Tropical possessions.","(Reprinted from Jameson's Travels in New Zealand, South Australia and New South Wales)"
yam,1889,Art Album NZ Flora,FEATON,77,,"?Is this the <i> Oxalis crenata</i>, the native of Peru introduced to Europe `some years ago' sc (from 1889) as a substitute for the potato",
yam,1982,Stewart Island Plants,WILSON,236,,YAM or OCA (<i>*Oxalis tuberosa</i>) is occasional in Halfmoon Bay as a garden discard. It forms erect bushy clumps with edible tubers below ground.,
yammer,1960,Ernie and the Rest of Us,BOSWELL,100,,"`He's mad on botany and such stuff, and he's got a special yammer on the New Zealand bush and they reckon he'll yabber for hours on it.'",
Yank tank,"Aug 16, 2004",Dominion Post  Sport & RaceForm,,2,,"We all can't wait as our ""Yank Tank"" is just the tonic we need after nearly three months of training, travelling or playing everyday.",
Yank tank,"Dec 7, 2002",Dominion Post,,F8,,"Yank tanks they would sniff, though their envy was barely disguised. A third or fourth-hand English hand-me-down car was about as much as a common wage packet would accommodate.",
Yank tank,"Nov 30, 2002",Listener (New Zealand Listener),,62,,"Big, glossy, sexy - John McCrystal's photos in <i>Yank Tanks</i> are just like its cars.",
Yank tank,"May 18, 1992",Listener (New Zealand Listener),,22,,"It is in fact a careful mix.. made in a computer-controlled self-weighing truck (a Yank tank, of course) that mixes exactly the prescribed recipe and spits it out into the appropriate troughs.",
Yank tank,"Feb 5, 2003",Capital Times,,5,,[Caption] A 1950 Corvette yank tank. [Hdg] Yank tank heaven... the early American Car Club is holding its 20th annual car show and swapmeet.,
Yank tank,"Nov 9, 2002",Dominion Post,,F4,,"The Wellington writer is, after all, being interviewed about his book <i>Yank Tanks: The Cars We Dreamed Of</i>... <i>Yank Tanks</i> concentrates on the period from 1949-1970, the era McCrystal regards as the height of American automotive style... ""When you glanced in the rearview mirror of your Dorset as it strained up a hill and flinched at the sight of a set of heavy chrome teeth grinning at you as the V8 of some American dream machine chafed in your wake, the sour grapes hardened to hostility,"" McCrystal writes. Hence the term ""Yank tank"" entered the post-war idiom, coined from ""one part disrespect, 10 parts envy.""",
Yank tank,1980,"Personal Kiwi-Yankee Dictionary, A",,115,,yank tank: This device does not bear General Sherman's name or that of any other general. It's your everyday V8 family CAR,
Yank tank,1988,"Dictionary of Kiwi Slang, A",McGILL,127,,yank tank large American car. ANZ.,
Yank tank,"Oct 27, 2000",Taranaki Daily News,,7,,"On Friday nights the young man from Wanganui would cruise the streets of South Taranaki in his big ""yank tank.""",
yanked,1921,Ballads of Bung 'Stunology',LORD,,1976,"Some that you're `wined', `wounded' or `wet' and some that you are `yanked'.",
Yankee,"Sep 17, 1861",Wellington Independent,,5,,"Cobb & Co. have sent over some Yankee Coaches, and I believe they will commence running to the diggings in a few days.",
Yankee,"Jun 2, 1899",Wanganui Herald,,6,,1 [dozen] Yankee Coach Collars.,
Yankee,"Jul 25, 1910",Wairarapa Daily Times,,6,,"CARRIAGE, Gig, Buggy and Light Trotting Collars, Yankee Coach and Buggy Collars, Van and Cart Collars MADE TO ORDER.",
Yankee,"May 16, 1902",Evening Post,,6,,YANKEE HUSTLE SALE,
Yankee axe,1874,Edward Crewe,BAINES,84,,"To hew a canoe into shape ... having the aid of Yankee axes, iron wedges, ... is no small undertaking ... but what a labour! with nothing save ... hard wood wedges, and tools of `jade'. <i>Ibid.</i> 152 We had also noticed ... good `stands' of kauri, a great portion of which ... is still untouched by the Yankee axe of the bushman, though the cream of one forest, capable of being driven out by dams, fell about the year 1864 ... <i>Ibid.</i> 171 The principal toolsrequired [by the kauri bushman] were Yankee axes, cross-cut saws, and timber (not screw) jacks. <i>Ibid.</i>172 One day, since my return to this worn-out old country, I happened to meet afriend who some time previous having heard of the superiority of the Yankee axe, had bought one of these British imitations, and finding the tool a poor one, had jumped to the conclusion that, `after all,' there was no axe equal to the old-fashioned one in use in England, and wasconsiderably `riled' at my intense derision and scorn of that conservative weapon; indeed, so hot did we get in our dispute that I offered to chop against the best woodman he could produce, his man armed with the medieval tool, whilst I was to use an American which I happen still to have",
Yankee axe,"May 13, 1843",Nelson Examiner and New Zealand Chronicle,,245,,6 cases Yankee axes.,
Yankee axe,"Jun 20, 1887",Grey River Argus,,3,,Sharps Main and Yankee Axes.,
Yankee axe,"May 8, 1891",Poverty Bay Herald,,3,,"SHARP'S YANKEE AXES, HATCHETS.",
Yankee axe,"Dec 11, 1903",Bay of Plenty Times,,3,,"Mann's 3 1/2, 4, 4 1/2 and 5lb Georgia and Felling Yankee Axes.",
Yankee clock,1874,Crusts: a settler's fare due south,KENNAWAY,92,,"... we started as the moon rose, and got home as the Yankee clock, on our rough-hewn mantel-piece, pointed with both hands to midnight.",
Yankee clock,"Jul 10, 1858",Nelson Examiner and New Zealand Chronicle,,2,,"G. COATES has just received a FRESH SUPPLY of his very sound and useful LEVER WATCHES, made to order, and two years' warrantry [sic] given; likewise YANKEE CLOCKS, at 12s. 6d. each ...",
Yankee clock,"Nov 1, 1867",West Coast Times,,7,,"Every description of diggers' tools and mining materials, furnishing and builders' ironmongery, guns, power, shot, &c.; cutlery in great variety, Yankee clocks and other notions ...",
Yankee clock,"Aug 2, 1881",Wanganui Herald,,2,,"Either that the English Derby candidates were not high class this year, or that the course was against fast going, or that the winner was not times by a Yankee clock.",
Yankee clock,"Dec 22, 1894",Observer (Auckland),,19,,"I don't know whether you have noticed that many of our public schools are content with cheap Yankee clocks worth, perhaps, 15/ each.",
Yankee grab,"Feb 13, 1885",Waikato War,,2,,"The contention was upheld that ""Yankee Grab"" was not illegal... This decision will be of great comfort to hotel keepers.",
